name,id,primary_economy,x,y,z,population,edsm_id,needs_permit
Comanga,3790,Agriculture,-91.1875,-69.65625,60.875,2323075890,3779,0
Corbago,3834,High Tech,-88,-65.40625,115.75,6069051,2306,0
Corbin,3836,Agriculture,-32.09375,-10.25,-15.09375,1677370131,16523,0
Coriat,3841,Extraction,46.6875,-226,71,3364925,1528,0
Coriccha,3844,Agriculture,-14.40625,19.9375,7,20071707963,18040,0
Corin,3845,Agriculture,95.71875,-116.4375,100.75,1524839997,424,0
Cornengu,3859,Extraction,113.34375,-18.125,-150.9375,4308945,8343,0
Cosi,3865,Agriculture,24.75,-14.6875,-70.75,4405771136,4032,0
Cotigagaial,3869,Terraforming,62.09375,121.6875,-24.4375,1534794270,4902,0
Cowicas,3874,Terraforming,-90.65625,109.65625,15.375,79185975,5040,0
Cowini,3875,Agriculture,64.59375,-146.6875,100,5386634171,11278,0
Coyotani,3879,Extraction,174.0625,-71.21875,124.78125,3678704,14245,0
CPC 22 212,3882,High Tech,69.8125,-58.625,40.3125,13860428,12429,0
CPD-28 332,3884,High Tech,9.8125,-24.46875,-10.65625,36582869,16777,0
CPD-59 314,3886,Refinery,61.53125,-58.15625,0.78125,3246724,17350,0
Croatigae,3899,Agriculture,137.75,-100.375,25.09375,3673255562,13414,0
Crowfor,3906,Agriculture,4.625,20.375,-83,1803621113,18576,0
Cuachini,3910,High Tech,-13.21875,91.15625,128.34375,12061747,16609,0
Cumalam,3925,Extraction,-20.65625,-73.8125,128.3125,3433725,1508,0
Cupinook,3930,Agriculture,44.28125,80.9375,17.125,2519830882,14883,0
CW Ursae Majoris,3934,Colony,2.65625,36.78125,-14.90625,681482,19265,0
CX Com,3935,Colony,3.96875,77.28125,-6.21875,519130,18087,0
Daha,3963,Agriculture,-1.625,101.09375,86.9375,3256508290,1512,0
Daibais,3968,Extraction,-19.59375,-103.90625,144.625,8483562,846,0
Daibara,3970,Extraction,-102.5625,76.46875,-41.375,2699546,14149,0
Daibo,3971,Extraction,165.96875,-169.28125,101.3125,4568021,16809,0
Daii,3974,Extraction,142.71875,-45.15625,111.6875,9177820,5319,0
Daisamaskap,3987,Extraction,-136.125,90.71875,32.34375,3154943,6204,0
Dakshmandi,4000,Extraction,106.21875,-127.65625,37.65625,4823091,13785,0
Dalevard,4009,High Tech,-47,36.6875,-62.375,12332771,3509,0
Dalfur,4010,Agriculture,-11.09375,-40.34375,-73.0625,2500000,12752,0
Dangtei,4033,Extraction,146.8125,-151.4375,23.78125,2724515,4740,0
Dasyapor,4063,Extraction,70.6875,151.6875,69.3125,2290450,3747,0
Delphin,4088,Agriculture,18.65625,16.75,-76.3125,1024725019,9,0
Delta Leporis,4092,Agriculture,76,-42.15625,-73.34375,4561880290,11302,0
Delta Pavonis,4095,Refinery,8.375,-10.84375,14.46875,5000000,4225,0
Deneb Algedi,4100,Refinery,-16.5,-28.09375,20.875,543800,10173,0
Deriv-Dar,4108,Agriculture,-4.46875,11,-82.71875,4962165296,11464,0
Derrim,4109,High Tech,-16.625,-32.40625,81,17856853,10864,0
Desubi,4112,High Tech,63.625,-80.90625,159.0625,10066356,11382,0
Devana,4123,Agriculture,-39.5,-97.40625,74.375,1300964057,5528,0
Devane,4124,High Tech,20.1875,-121.1875,-29,7781118,8952,0
Dewi'xil,4134,Refinery,57.21875,-196.875,81.625,535807,7385,0
DH leonis,4138,Agriculture,29.28125,81.53125,-56.34375,827927595,15892,0
Dhan,4144,Extraction,0.875,-219.46875,60.8125,5493650,3606,0
Dhangba,4150,Agriculture,-97.03125,-1.15625,-82.1875,485012787,13298,0
Dhanka,4153,Agriculture,-70.3125,-111.90625,22.53125,376208847,1582,0
Dhathaut,4169,Agriculture,-23.625,61,106.46875,2558322429,9555,0
Dheneb,4171,High Tech,-24.9375,-118,-28.625,23240214,8536,0
Di Yomi,4183,Agriculture,104.59375,-178.84375,57.75,1073723852,3652,0
Diaguandri,4191,High Tech,-41.0625,-62.15625,-103.25,10303479,7479,0
Dian,4194,Extraction,48.375,-105.34375,-80.65625,4641997,19924,0
Dierfar,4203,Agriculture,73.375,38.71875,10.8125,10243806242,6944,0
Dierites,4204,Agriculture,23.6875,-75.96875,-17.03125,430582916,12010,0
Difu,4209,Refinery,-34.40625,1.4375,-27.875,650000,13397,0
Dilwanes,4217,Extraction,120.4375,16.125,-87.84375,1750985,14262,0
Dis Pater,4236,High Tech,-3.15625,-66.40625,95.6875,7121204,9030,0
Disci,4237,High Tech,16.03125,97.59375,-29.59375,9903648,10021,0
Ditia,4240,High Tech,32.46875,-39.59375,-36.5,4910079,7998,0
Djaghire,4257,Agriculture,141.5,-173.75,23.34375,4694147527,9184,0
Djakah,4261,Extraction,105.53125,-134.46875,101.25,8816029,7227,0
Djalkyries,4267,Extraction,110.3125,-154,100.875,3919146,5534,0
Dobunn,4323,Extraction,-55.25,5.25,118.5625,4008450,6268,0
DS Leonis,4368,High Tech,10.25,34.875,-12.34375,9968248,10828,0
Duamta,4374,Agriculture,2.1875,6.625,-7,13327710628,8420,0
Dugnatlehi,4386,Extraction,75.34375,-204.625,-61.75,3449459,11075,0
Dulerce,4387,Refinery,49.03125,25.6875,-73,287157332,1675,0
Dulos,4389,Agriculture,29,-71.34375,45.5,564343261,13122,0
Durok,4400,Industrial,-99.3125,-43.03125,118.9375,2094383,4016,0
Dvorsi,4411,High Tech,77.59375,-96.5625,7.3125,65081959,12180,0
Dyaushibi,4417,Agriculture,112.875,-20.75,-33.03125,1819835126,14454,0
Dyavansana,4419,Extraction,-80.375,147.59375,19.71875,1271568,4652,0
Ebana,4442,High Tech,151.65625,-14.9375,-15.03125,5771837,13585,0
Ebanji,4444,Refinery,-25.46875,87.75,-129.65625,512089,8753,0
Eburnakura,4449,Extraction,92.375,-85.21875,66.65625,2487142,12033,0
Edenapel,4454,Agriculture,6.1875,7.34375,39.21875,5667008638,17045,0
Edin,4459,High Tech,27.1875,-43.96875,-12.21875,5277339,15709,0
Ega,4467,Extraction,31.75,17.5625,114.09375,4629476,15927,0
EGGR 431,4469,High Tech,31.6875,36.75,-28.40625,38932317,13962,0
Ehlanda,4479,Extraction,115.15625,-160.8125,75.90625,12250621,14767,0
Ejagh,4492,Extraction,-47.34375,48.40625,67.5,1703021,18874,0
Ejaghan,4495,Terraforming,113.28125,47.625,77.125,416924762,8299,0
Ekondhri,4507,High Tech,110.71875,-75.0625,112.5,25915687,9333,0
Ekuru,4513,Refinery,-47.25,-2.75,40.375,514410,5839,0
Eledas,4521,Extraction,153.15625,27.9375,-9.53125,3434648,4401,0
Eleumo,4527,Refinery,45.59375,-59.0625,61.46875,659017,9883,0
Elli,4530,High Tech,60.1875,-1.03125,-6.03125,29849908,12893,0
Elska,4532,High Tech,-63.875,-10.78125,-67.40625,4862323,13247,0
Emblannovii,4542,Terraforming,67.53125,-214,82.3125,419785785,5824,0
Enki,4565,Extraction,-68.0625,70.78125,-37.78125,5105318,16675,0
Ennead,4566,Agriculture,40.6875,-26.59375,3.71875,3165188491,19362,0
Ensoreus,4567,Agriculture,69.15625,66.21875,69.5625,342647624,16115,0
Eotienses,4575,Agriculture,49.5,-104.03125,6.3125,6467298746,5797,0
Epsilon Phoenicis,4596,Extraction,29.21875,-135.5625,39.59375,3000000,3505,0
Epsilon Serpentis,4598,Agriculture,-12.34375,46.25,51.65625,10801476421,6037,0
EQ Pegasi,4600,High Tech,-15.4375,-12.75,-2.5625,18315035,9103,0
Eravapa,4613,High Tech,77.4375,-60.78125,68.375,29535381,19090,0
Erio,4621,High Tech,30.28125,-93.46875,88.78125,19713699,8349,0
Erishiko,4624,Extraction,-48.59375,86.9375,34.03125,2053855,2513,0
Erivia,4627,High Tech,76.875,-80.59375,40.0625,13035053,10736,0
Esumindii,4654,High Tech,44.875,31.5625,56.40625,8436831,6997,0
Esuseku,4655,Agriculture,-107.875,29.5625,-20.9375,608892971,14815,0
Eta Draconis,4665,Agriculture,-69.53125,60.28125,-2.9375,755373775,9732,0
Euryale,4697,High Tech,35.375,-68.96875,24.8125,500000,19871,0
Exbeur,4719,Extraction,-35.15625,27.84375,-33.65625,929999995,13593,1
EZ Aquarii,4724,High Tech,-4.4375,-9.3125,4.09375,9930324,12065,0
Facece,4727,Military,64.28125,-111.4375,25.1875,10880600480,7060,1
FAUST 68,4756,High Tech,72.34375,-89.90625,46.59375,16429016,2549,0
Fawaol,4757,High Tech,65.5625,-118.15625,-10.09375,90000000,8468,0
Felkan,4763,Extraction,-34.5,-62.90625,-42.9375,2500000,8269,0
Feng Tanga,4765,High Tech,5.75,-113.125,-67.3125,8966558,3025,0
Feuma,4782,Extraction,22.875,78.625,23.59375,1500173,3537,0
Fincien,4790,Agriculture,-89.25,-25.84375,82.65625,4976628422,8423,0
Finteno,4798,High Tech,-106.375,-16.21875,4.9375,6782657,17847,0
Fionn,4801,High Tech,32.5,9.3125,-22.75,18439952,10000,0
Firdaus,4805,Refinery,62.96875,-89.5625,35.625,750000,9776,0
Folna,4824,Agriculture,53.90625,77.9375,33.71875,1723329603,5276,0
Fotla,4844,High Tech,64.78125,-103.8125,43.09375,12060909,3424,0
Frao,4847,Extraction,4.125,-148.46875,123.75,7724221,7131,0
Fu Xianses,4874,Extraction,50.0625,-46.6875,132,6245988,2594,0
Fugen Nones,4881,Refinery,140.96875,-1.21875,36.25,557481,8849,0
Fugeth,4885,Extraction,83.84375,9.3125,87.28125,2018490,19988,0
Fular,4887,High Tech,4.3125,-18.03125,-81.25,4900652,13747,0
Fulastobo,4888,Agriculture,3.53125,-20.59375,111,2292941689,13931,0
Fusang,4898,High Tech,-12.59375,-19.03125,39.71875,4774107,6860,0
Futhark,4901,Extraction,75.34375,-119.28125,46.4375,2500000000,6115,0
Futhorc,4902,Refinery,80.5625,-122.0625,45.09375,22500000,9543,0
G 122-60,4910,High Tech,-11,73.46875,-22.5625,37241889,9292,0
G 126-31,4915,High Tech,-48.5625,-25.6875,16.0625,5457065,14622,0
G 139-50,4920,High Tech,-33.84375,22.96875,54.25,8384945,18390,0
G 141-21,4922,Agriculture,-24.875,6,26.21875,8672033369,14200,0
G 173-53,4930,Extraction,-25.15625,-8.03125,-28.65625,2845177,11727,0
G 190-28,4937,High Tech,-44,-15.65625,-13.3125,12354397,401,0
G 250-34,4947,High Tech,-27.28125,25.90625,-44.5,30688414,5134,0
G 59-7,4957,Colony,8.90625,78.625,-8.09375,522064,19680,0
G 83-13,4960,Agriculture,1.21875,-16.09375,-38.03125,4793803572,362,0
G 87-16,4962,Agriculture,5.90625,15.6875,-57.5,4794217824,16560,0
G 99-49,4966,Military,7.15625,-3.09375,-15.6875,678559,15237,0
Gadjil,5001,Industrial,-116.71875,46.78125,91.8125,3260158,5225,0
Gali,5010,Agriculture,-57.625,43.40625,97.5625,1531930506,19241,0
Galis,5012,Extraction,163.90625,-23.375,-99.0625,1683663,1166,0
Gamma Mensae,5041,Refinery,83.3125,-52.84375,26.9375,525730,18729,0
Gamma Phoenicis,5042,Terraforming,70.5,-222.46875,11.15625,562159353,6282,0
Gandones,5057,Agriculture,-18.1875,-29.96875,116.90625,2348686218,14851,0
Gandui,5061,High Tech,-18.375,-153.46875,48.8125,24726063,19869,0
Gandza,5063,High Tech,102.9375,-15.34375,-63.3125,5664452,14581,0
Gangga,5068,Industrial,113.3125,-123.4375,149.125,5325070,11153,0
Gaohikel,5076,Extraction,49.53125,33.28125,57.125,1194147,11799,0
Garabaei,5080,Extraction,-40.59375,-102.625,68.90625,2080070,11222,0
Garoku,5089,Agriculture,-99.75,-58,-61.15625,548048239,5823,0
GAT 2,5097,High Tech,-35.3125,17.71875,58.875,4509491,17751,0
Gateway,5098,Refinery,-11,77.84375,-0.875,400000000,19886,0
Gaula,5106,Agriculture,90.625,-2.65625,76.90625,928320866,13884,0
Gaunab,5110,Extraction,1.8125,-108.28125,-22.90625,5540466,10998,0
Gautas,5114,High Tech,-82.96875,64.21875,-92.53125,6336677,5284,0
GCRV 2743,5126,Agriculture,-69.375,28.59375,-93.03125,4075626194,14060,0
GD 140,5147,High Tech,4.84375,49.5625,-13.3125,82574191,7597,0
GD 175,5148,High Tech,9.3125,56.53125,60.59375,9689545,6926,0
GD 219,5150,High Tech,-48.65625,0.125,41.6875,3972954,1340,0
Gebel,5161,Agriculture,23.40625,-50.90625,29.375,2153398752,13200,0
Geirsemi,5170,Terraforming,65.5,-114,-66.09375,19227149,2651,0
Gendalla,5173,Military,12,9.96875,-5.53125,882261,9016,0
Gende,5174,High Tech,93.28125,-117.75,-1.46875,14090519,4020,0
Genderi,5178,Agriculture,-50.875,15.15625,119.5625,469369429,7030,0
Giguara,5213,Agriculture,13.3125,14.5,68.21875,1205359280,13980,0
Gilgamesh,5215,Agriculture,-59.875,-16,28.78125,14791668057,15367,0
Gilya,5217,High Tech,-76.78125,51.03125,21.75,9936725,17456,0
Giryampi,5231,High Tech,121.96875,-78.96875,11.03125,18643497,9942,0
Gladutjin,5247,High Tech,-40.90625,11.84375,-55.8125,8615033,8204,0
Gladyangar,5250,Extraction,2.1875,-47.09375,131.625,2492458,666,0
Gliese 1272,5260,Refinery,-100.96875,-89.34375,15.9375,712262594,3479,0
Gliese 2084,5265,Military,120.1875,81.40625,19.34375,635097,13421,0
Gliese 2119,5266,Extraction,54.46875,5.5625,116.5625,4140357,547,0
Gliese 225.1,5268,Extraction,134.15625,-71.0625,-67.28125,4204148,5962,0
Gliese 3761,5279,High Tech,111.90625,-35.59375,75.71875,6276161,15065,0
Gliese 44,5291,Extraction,-50.375,-132.6875,-39.09375,2406121,4505,0
Gliese 58,5298,High Tech,11.125,-128.90625,-14.15625,153137171,13518,0
Gliese 76,5306,Industrial,16.84375,-131.75,-25.5,16819078,8378,0
Gliese 867.1,5310,Agriculture,-53.375,-100.9375,40.84375,6997106373,6946,0
Gliese 868,5311,Agriculture,-7.375,-38.96875,19.5,8508626043,15000,0
Gliese 900.1,5313,Agriculture,21.625,-111.5625,45.40625,13146612644,19809,0
Glusargiz,5352,Agriculture,-39.28125,-114.21875,21.125,1194075763,8968,0
Goansi,5367,Extraction,123.53125,3.84375,-104.96875,1925043,5047,0
Goller,5377,High Tech,125.21875,-65.0625,2.875,10986244,1561,0
Gondan,5386,Extraction,7.5625,-193.21875,5.40625,18894858,10474,0
Gongalungul,5391,High Tech,76.4375,-85.4375,27.3125,47190898,18839,0
GQ Virginis,5411,High Tech,12.15625,27.3125,23.28125,14087951,3203,0
Grafias,5422,High Tech,37.6875,0.5,126.8125,4872859,6502,0
Graudung,5430,Extraction,5.09375,-90.90625,135.625,2357554,16217,0
Grebegus,5439,Agriculture,125.65625,-177.53125,53.15625,15089119076,7865,0
Greila,5445,Colony,-5.90625,35.375,63.90625,512730,5129,0
Gridge,5449,Agriculture,64.71875,-118.25,101.25,13578082323,11913,0
Groombridge 34,5455,High Tech,-9.90625,-3.6875,-5.09375,9500000,1410,0
Grudi,5464,Agriculture,112,-11.71875,-14.6875,5564048469,3077,0
Guan Yun,5476,Extraction,94.375,-104.78125,-34.3125,6480047,6253,0
Guangngel,5486,Extraction,159.9375,-82.40625,75.84375,6826852,1430,0
Guayambaan,5497,Agriculture,-132,0.78125,-14.0625,3240098476,19477,0
Gucuman,5507,Extraction,111.625,0.15625,105.125,1714017,18270,0
Guei,5515,Extraction,9.375,19.28125,-97,1653052,12943,0
Guerre,5517,Extraction,72.3125,-104.53125,-93.46875,2090044,18061,0
Gugurun,5522,Agriculture,101.09375,-61.03125,41.46875,476733952,945,0
Gulngaba,5543,Agriculture,61.59375,9.09375,92.1875,1236254930,8166,0
Gundji,5558,Extraction,43.8125,-249.65625,36.75,5282683,4494,0
Guracana,5584,Extraction,29.84375,118.78125,9.65625,1597010,5038,0
Gurus,5593,High Tech,113.28125,51.6875,-57.59375,22199581,3637,0
Guttun,5596,High Tech,22.84375,-18.09375,86.78125,10474925,14288,0
Guuguyni,5599,High Tech,130.84375,-96.46875,67.5625,18128368,7931,0
Gwri,5605,Extraction,-32.625,-51.84375,111.5625,3219340,553,0
Gwydans,5606,Agriculture,-134.28125,-20.28125,5.625,2047026038,15888,0
Hai Chan,5641,High Tech,74.59375,88.75,120.25,4944217,14944,0
Hamoco,5683,Industrial,-128.03125,57.46875,85.75,2926628,15470,0
Hanuku,5701,Industrial,-105.5625,110.28125,7.28125,8329066,12782,0
Hapakhered,5712,Terraforming,127.15625,-23.09375,-67.09375,7023101,15604,0
Har Itariu,5720,High Tech,-111.09375,10.875,-6.8125,8582603,14018,0
Har Pahary,5725,High Tech,21.625,-92.8125,-43.09375,14118926,18718,0
Harigah,5743,Extraction,166.3125,-136.1875,102.125,3100399,18716,0
Harm,5751,High Tech,15.34375,-119.03125,-84.5625,4606800,17408,0
Hatmehing,5776,High Tech,-36.8125,-118.1875,41.625,1972882986,14976,0
Havalokul,5783,High Tech,-129.21875,16.3125,56.875,5256102,3489,0
Havans,5784,Extraction,124.9375,-220.40625,-56.625,5297090,17278,0
Havared,5786,Extraction,96.84375,-179.875,-0.40625,5512549,17105,0
He Pora,5811,Agriculture,73.09375,53.09375,89.15625,1602961003,8994,0
Heike,5840,Agriculture,-76.96875,71.90625,69.1875,669431531,13250,0
Herme,5898,High Tech,-36,-159.78125,38.40625,13068693,14052,0
HerniMara,5903,Agriculture,-71,-21.9375,100.03125,5130891025,10505,0
Heryshaf,5914,Extraction,144.03125,-106.59375,23.4375,6681486,3220,0
HERZ 13422,5916,High Tech,74.03125,55.625,-29.0625,9909515,7390,0
Hesates,5921,Extraction,4.9375,43.71875,89.875,1168897,10385,0
Het,5925,Extraction,-128.46875,33.9375,-19.46875,2785709,6722,0
Hill Pa Hsi,5940,High Tech,29.46875,-1.6875,25.375,106587219,13984,0
Himashi,5949,Refinery,115.125,-98.59375,-80.65625,566236,6049,0
HIP 100035,5957,Extraction,35.84375,-110.21875,155.15625,3434018,7891,0
HIP 100341,5969,Extraction,-153.1875,11.8125,21.78125,6826878,1220,0
HIP 10050,5975,Agriculture,-47.5,-80.84375,-78.78125,2325201809,10489,0
HIP 101432,5995,Agriculture,0.03125,-77.75,104.3125,5090599179,13657,0
HIP 101587,5999,High Tech,22.125,-94.6875,121.65625,13182243,6647,0
HIP 101597,6000,Agriculture,-107.1875,-40.4375,71.5625,2587219178,16631,0
HIP 101760,6006,High Tech,-80.8125,-80.34375,117.59375,9175092,7474,0
HIP 101846,6009,High Tech,23.3125,-76.96875,96.28125,55921068,14994,0
HIP 102817,6033,Refinery,-33.125,-88.25,109.125,766028,6869,0
HIP 103138,6044,High Tech,-50.53125,-75.5,92.0625,5226690,4209,0
HIP 10322,6047,High Tech,-95.65625,-8.3125,-93.03125,3593571,15913,0
HIP 103260,6050,Refinery,26.90625,-97.75,111.53125,664708,15905,0
HIP 104471,6091,Extraction,-126,-47.75,50.625,337643039,3002,0
HIP 104549,6095,Extraction,-54.5625,-112.15625,117.4375,2010946,17459,0
HIP 10492,6103,Terraforming,21.375,-135.46875,-44.125,689464902,16739,0
HIP 105408,6116,High Tech,18.15625,-147.71875,145.5,8861034,19321,0
HIP 10587,6138,Extraction,135.5625,-154.6875,53.875,3771690,6480,0
HIP 106568,6162,Industrial,-66.09375,-128.78125,108.84375,4584167,14853,0
HIP 10694,6173,Agriculture,102.09375,-160.3125,18.5625,13003810048,11608,0
HIP 107010,6175,Agriculture,76.25,-96.53125,92.125,9701539814,7928,0
HIP 107412,6192,Agriculture,-59.875,-88.09375,65.5625,876757407,1521,0
HIP 107476,6194,High Tech,34.53125,-115.375,100.53125,9247412,12778,0
HIP 10786,6208,Agriculture,147.5,-162.59375,60.125,5135756552,5023,0
HIP 108158,6217,High Tech,67.96875,-80.59375,74.34375,14063887,9089,0
HIP 108256,6220,Extraction,99.65625,-133.71875,120.78125,15018571,5873,0
HIP 10834,6224,Extraction,137.65625,-185.375,38.90625,1596342861,4399,0
HIP 108344,6225,Agriculture,56.375,-132.4375,111.90625,1409718811,10254,0
HIP 108598,6230,Agriculture,34.09375,-111.96875,90.875,2262301027,17758,0
HIP 108971,6242,Extraction,51.71875,-150.34375,120.28125,5958985,18701,0
HIP 109012,6244,Extraction,-16.0625,-129.125,91.03125,2668879,3949,0
HIP 110442,6300,High Tech,68.25,-152.84375,115.6875,11570726,682,0
HIP 110483,6301,Agriculture,-23.46875,-108.375,63.6875,3947467625,4164,0
HIP 110887,6317,High Tech,45.8125,-118.375,85.40625,9636610,14542,0
HIP 11192,6356,Extraction,16.375,-185.5,-83.625,8347245,18309,0
HIP 112113,6366,High Tech,83.03125,-102.0625,81.8125,9466181,7997,0
HIP 112974,6399,Agriculture,-59.09375,-107.875,34.4375,1344989359,6745,0
HIP 11433,6459,Refinery,31.09375,-122.6875,-37.9375,507633,16472,0
HIP 114333,6460,Extraction,94.1875,-224.25,132.8125,5497252,14082,0
HIP 11469,6482,Extraction,166.34375,-239.28125,30.84375,5534516,17706,0
HIP 114709,6485,Extraction,51.71875,-190.1875,98.59375,3516306579,16768,0
HIP 114878,6489,Industrial,-1.21875,-240.71875,96.375,3968977,13242,0
HIP 114880,6490,Agriculture,68.65625,-155.5625,90.09375,3016666293,12175,0
HIP 116045,6532,Military,35.875,-181.78125,77.5,658463,514,0
HIP 116213,6539,High Tech,-96.9375,-79.1875,-16.875,6023099,7423,0
HIP 116377,6549,High Tech,38.84375,-172.9375,73.1875,46942591,11013,0
HIP 116436,6552,Agriculture,-16.75,-120.59375,30.90625,6291976153,9395,0
HIP 116482,6555,Refinery,-30.59375,-206.5,51.59375,551249,9716,0
HIP 116710,6568,Agriculture,73.71875,-157.59375,81.96875,2870141029,14936,0
HIP 116910,6572,Extraction,2.3125,-199.09375,59.34375,5102197,16521,0
HIP 117114,6588,Industrial,125.375,-242.8125,127.9375,4639346,12579,0
HIP 117187,6592,Agriculture,45.34375,-191.15625,74.625,4904709815,5007,0
HIP 117254,6595,Extraction,27.09375,-240.8125,78.78125,4119572,8848,0
HIP 117831,6617,Extraction,47.125,-256.78125,85.6875,8096714,2142,0
HIP 118091,6636,Terraforming,34.71875,-169.09375,56.09375,848535,14126,0
HIP 118210,6645,Extraction,16.875,-227.53125,59,2970378,2683,0
HIP 118321,6651,High Tech,79.3125,-136.8125,70.46875,16964945,12507,0
HIP 11958,6661,Extraction,85.25,-209.8125,-41.1875,7099010,3871,0
HIP 12314,6672,Industrial,-98.3125,-77.4375,-153.53125,3137163,15533,0
HIP 12605,6682,High Tech,44.9375,-129.625,-39.90625,7109214,6169,0
HIP 12716,6686,Agriculture,52.53125,-119.125,-25.625,4374744236,19784,0
HIP 14031,6743,High Tech,74.21875,-156.46875,-45.8125,14745379,18434,0
HIP 14249,6753,Extraction,48.21875,-162.71875,-85.875,4387405,8662,0
HIP 14257,6755,Extraction,131.0625,-188.59375,-9.78125,3901980,3893,0
HIP 1427,6756,High Tech,-94.625,-104.5,-38.78125,4751859,6194,0
HIP 15255,6789,Agriculture,117.03125,-153.71875,-7.53125,8390029907,18759,0
HIP 1536,6796,Extraction,144.875,-214.03125,110.71875,5776054,10672,0
HIP 15614,6808,Extraction,182.90625,-177.71875,49,5950021,18044,0
HIP 16343,6836,Extraction,-58.59375,-29.21875,-117.09375,2023858,2445,0
HIP 16607,6849,High Tech,42.59375,-125.28125,-96.46875,20489409,18981,0
HIP 1742,6886,Extraction,29.1875,-244.46875,46.28125,6245546,16844,0
HIP 17486,6890,Agriculture,130.59375,-115.84375,34.5,7575547456,12974,0
HIP 18187,6913,High Tech,78.21875,-102.53125,-35.6875,16404826,14717,0
HIP 18527,6926,High Tech,46.71875,-87.6875,-68.8125,7198773,14688,0
HIP 18714,6935,Extraction,95.53125,-118.75,-42.34375,2906103,2438,0
HIP 18725,6936,Terraforming,-76.3125,4.78125,-123.78125,259116494,5691,0
HIP 18828,6937,High Tech,77.03125,-102.28125,-47.53125,12489796,18348,0
HIP 18843,6939,Extraction,-9.5625,-87.40625,-173.5,2179587,16760,0
HIP 19052,6950,Extraction,115.1875,-152.53125,-75.90625,3314484,15303,0
HIP 19331,6966,Agriculture,112.875,-126.28125,-36.78125,3976879596,17643,0
HIP 1937,6968,Extraction,137.5625,-135.71875,94.90625,7574824,17185,0
HIP 19408,6969,Colony,-113.75,19.875,-173.1875,571782,18402,0
HIP 19442,6972,Agriculture,132.59375,-139.875,-28.625,1029240250,7700,0
HIP 19758,6977,High Tech,97.71875,-105.46875,-31.4375,24068252,13140,0
HIP 19786,6985,Terraforming,2.75,-61.9375,-125.59375,1403794705,19621,0
HIP 19925,6997,Agriculture,26.75,-74.84375,-109.625,2767855465,19028,0
HIP 20048,7005,Extraction,78.25,-90.625,-43.15625,2153405,13816,0
HIP 20184,7012,Extraction,97.71875,-127.28125,-88.9375,5657900,8529,0
HIP 20199,7013,Terraforming,95.84375,-105.0625,-42.40625,1827867507,10089,0
HIP 20737,7048,Agriculture,67.96875,-83.21875,-60.46875,6999530911,11057,0
HIP 20806,7053,High Tech,69.59375,-101.4375,-105.25,11920475,7773,0
HIP 21187,7079,Refinery,150,-132.03125,-12.46875,545995,4975,0
HIP 21458,7093,Extraction,145.71875,-137.375,-46.75,2466868,2271,0
HIP 21724,7101,Industrial,149.4375,-152.5,-94.09375,4822784,9878,0
HIP 21991,7114,High Tech,73,-91.03125,-109.09375,5887901,2524,0
HIP 223,7133,High Tech,-71.5625,-118.5,-13.28125,9098090,4592,0
HIP 22961,7159,High Tech,-69.15625,29.8125,-102.78125,13681803,14989,0
HIP 23046,7162,High Tech,177.8125,-134.46875,2.59375,10162212,16805,0
HIP 23259,7171,Extraction,-4.65625,-21.375,-122.5625,6812129,17948,0
HIP 23413,7177,Military,143.78125,-97.53125,48.9375,573906,12400,0
HIP 23716,7187,Extraction,74.71875,-73.71875,-109.75,1940083,5131,0
HIP 23824,7191,Agriculture,121.5,-78.125,60.84375,6374673783,10798,0
HIP 24046,7202,Agriculture,-6.4375,-15.21875,-129.53125,879451018,10398,0
HIP 24947,7235,Refinery,118.5625,-86.84375,-56.84375,561062,6794,0
HIP 27058,7288,Agriculture,71.9375,-43.25,-103.90625,1517936706,16069,0
HIP 27134,7293,Extraction,138.71875,-84.59375,-3.3125,82981213,2162,0
HIP 28070,7322,Extraction,188.15625,-112.5,58.84375,3107968,15278,0
HIP 290,7348,Extraction,-6.625,-207.8125,38.15625,5514428,4256,0
HIP 29312,7355,High Tech,18.3125,7.65625,-141.75,10385959,17955,0
HIP 29444,7358,High Tech,147.375,-80.46875,13.5625,19766339,13921,0
HIP 30243,7380,Agriculture,65.65625,-14.375,-112.25,4030463099,4930,0
HIP 3028,7383,Extraction,-33.46875,-132.0625,-14.46875,10208077,2551,0
HIP 305,7387,High Tech,-11.125,-150.65625,24.15625,19514981,9435,0
HIP 307,7393,Extraction,36.0625,-234.6875,65.6875,4672590,12293,0
HIP 3142,7408,Industrial,10.25,-130.0625,11.75,12432616,4478,0
HIP 31666,7414,Extraction,207.3125,-106.125,41.09375,7673896,6830,0
HIP 3352,7453,Extraction,103.40625,-194,70.90625,14558457,17078,0
HIP 35211,7480,Extraction,159.21875,-63.1875,14.59375,5455857,5219,0
HIP 35449,7487,Extraction,-77.90625,80.96875,-131.25,3345414,3109,0
HIP 36037,7502,Extraction,-11.03125,53.125,-113.8125,6658209,16324,0
HIP 36485,7512,High Tech,60.59375,39.28125,-129.34375,9373631,19292,0
HIP 36954,7518,High Tech,-66.59375,61.0625,-84.90625,12086641,9834,0
HIP 37162,7520,High Tech,-8.9375,59.5,-116.375,12826597,3098,0
HIP 38235,7540,Extraction,174.34375,5.5625,-96.75,2782684,18621,0
HIP 38747,7548,Industrial,111.71875,25.84375,-95.03125,2414284,15678,0
HIP 38862,7549,Extraction,113.96875,19.34375,-82.96875,961508381,5953,0
